metabolism	KEGG pathways
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
pyruvate metabolism	sce00620
histidine metabolism	sce00340
pyrimidine metabolism	sce00240
Transport[c, v]	
Transport[c, v]	
oxidative phosphorylation	sce00190
oxidative phosphorylation	sce00190
Transport[e, c]	
Transport[c, e]	
Transport[c, e]	
Transport[m, c]	
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, e]	
Transport[c, e]	
Transport[e, c]	
Transport[e, c]	
Transport[c, m]	
Transport[p, c]	
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[p, c]	
Transport[m, c]	
Transport[e, c]	
Transport[m, c]	
Transport[er, g]	
Transport[er, g]	
Transport[er, g]	
Transport[er, g]	
Transport[e, c]	
Transport[m, c]	
Transport[c, m]	
Transport[c, m]	
Transport[c, m]	
Transport[m, c]	
Transport[m, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, m]	
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[ce, c]	
Transport[e, c]	
Transport[m, c]	
Transport[e, c]	
Transport[ce, c]	
Transport[e, c]	
Transport[c, g]	
Transport[e, c]	
Transport[e, c]	
Transport[c, v]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, e]	
Transport[e, c]	
Transport[c, v]	
Transport[m, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, m]	
Transport[c, e]	
Transport[c, e]	
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[v, c]	
Transport[e, c]	
Transport[v, c]	
Transport[v, c]	
Transport[v, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[v, c]	
Transport[c, m]	
Transport[v, c]	
Transport[e, c]	
Transport[v, c]	
Transport[v, c]	
Transport[e, c]	
Transport[v, c]	
Transport[e, c]	
Transport[v, c]	
Transport[v, c]	
Transport[v, c]	
Transport[e, c]	
Transport[c, m]	
Transport[e, c]	
Transport[v, c]	
Transport[v, c]	
Transport[v, c]	
Transport[e, c]	
Transport[v, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[v, c]	
Transport[v, c]	
Transport[v, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, m]	
Transport[e, c]	
Transport[c, e]	
Transport[c, m]	
Transport[m, c]	
Transport[m, c]	
Transport[m, c]	
Transport[e, c]	
Transport[c, p]	
Transport[c, m]	
Transport[e, c]	
Transport[c, m]	
Transport[e, c]	
Transport[c, m]	
Transport[c, e]	
Transport[e, c]	
Transport[c, m]	
Transport[e, c]	
Transport[c, e]	
Transport[c, e]	
Transport[v, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[c, e]	
Transport[c, e]	
Transport[v, c]	
Transport[c, e]	
Transport[v, c]	
Transport[m, c]	
Transport[m, c]	
Transport[e, c]	
Transport[c, e]	
Transport[c, e]	
Transport[c, m]	
Transport[e, c]	
Transport[c, g]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[m, c]	
Transport[c, m]	
Transport[e, c]	
Transport[e, ce]	
Transport[c, m]	
Transport[c, m]	
Transport[c, e]	
Transport[c, m]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
sphingoglycolipid metabolism	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
slime reaction	
exchange reaction	
Transport[ce, c]	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, n]	
Transport[er, c]	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, m]	
Transport[c, m]	
exchange reaction	
Transport[c, e]	
Transport[c, m]	
Transport[c, e]	
Transport[c, m]	
exchange reaction	
Transport[c, e]	
Transport[c, m]	
exchange reaction	
exchange reaction	
Transport[c, e]	
Transport[c, m]	
Transport[c, m]	
exchange reaction	
Transport[c, n]	
Transport[e, c]	
exchange reaction	
Transport[e, c]	
Transport[m, c]	
Transport[c, m]	
Transport[c, m]	
Transport[e, c]	
exchange reaction	
Transport[c, e]	
Transport[c, m]	
Transport[c, m]	
thiamine metabolism	sce00730
exchange reaction	
Transport[c, e]	
Transport[c, m]	
Transport[c, m]	
Transport[c, m]	
Transport[c, m]	
Transport[c, p]	
Transport[c, m]	
purine metabolism	sce00230
purine metabolism	sce00230
pyrimidine metabolism	sce00240
purine metabolism	sce00230
pyrimidine metabolism	sce00240
pyrimidine metabolism	sce00240
purine metabolism	sce00230
exchange reaction	
Transport[c, m]	
one carbon pool by folate	sce00670
one carbon pool by folate	sce00670
exchange reaction	
exchange reaction	
Transport[e, c]	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[m, c]	
Transport[e, c]	
exchange reaction	
Transport[c, n]	
Transport[c, n]	
Transport[p, c]	
exchange reaction	
Transport[c, m]	
exchange reaction	
Transport[c, m]	
exchange reaction	
Transport[c, n]	
Transport[c, er]	
Transport[c, p]	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[e, c]	
exchange reaction	
Transport[n, c]	
Transport[c, m]	
Transport[c, p]	
Transport[c, n]	
Transport[c, er]	
exchange reaction	
other	
other	
other	
other	
Transport[c, n]	
exchange reaction	
exchange reaction	
Transport[c, p]	
Transport[c, p]	
Transport[c, n]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
steroid biosynthesis	sce00100
exchange reaction	
Transport[ce, c]	
ubiquinone and other terpenoid-quinone biosynthesis	sce00130
Transport[e, c]	
exchange reaction	
Transport[c, p]	
Transport[c, p]	
pyrimidine metabolism	sce00240
Transport[c, er]	
Transport[n, c]	
Transport[c, p]	
Transport[c, m]	
Transport[c, e]	
Transport[c, er]	
Transport[c, n]	
Transport[p, c]	
exchange reaction	
pyrimidine metabolism	sce00240
pyrimidine metabolism	sce00240
exchange reaction	
exchange reaction	
Transport[e, c]	
Transport[c, m]	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[e, c]	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[e, c]	
exchange reaction	
Transport[e, c]	
Transport[c, n]	
Transport[c, n]	
purine metabolism	sce00230
purine metabolism	sce00230
purine metabolism	sce00230
purine metabolism	sce00230
Transport[c, n]	
exchange reaction	
Transport[e, c]	
purine metabolism	sce00230
exchange reaction	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
pyrimidine metabolism	sce00240
Transport[e, c]	
pantothenate and coa biosynthesis	sce00770
Transport[c, n]	
Transport[c, m]	
arginine and proline metabolism	sce00330
Transport[c, m]	
folate biosynthesis	sce00790
Transport[c, m]	
Transport[m, c]	
Transport[c, p]	
Transport[c, er]	
exchange reaction	
Transport[e, c]	
Transport[c, n]	
Transport[c, n]	
exchange reaction	
Transport[c, er]	
exchange reaction	
Transport[er, c]	
Transport[c, lp]	
exchange reaction	
Transport[c, e]	
Transport[c, m]	
exchange reaction	
exchange reaction	
Transport[c, m]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[c, p]	
Transport[e, c]	
exchange reaction	
riboflavin metabolism	sce00740
exchange reaction	
exchange reaction	
exchange reaction	
Transport[m, c]	
Transport[e, c]	
Transport[e, c]	
fructose and mannose metabolism	sce00051
exchange reaction	
exchange reaction	
Transport[g, c]	
Transport[c, n]	
Transport[c, g]	
Transport[c, v]	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, m]	
exchange reaction	
Transport[c, m]	
Transport[c, m]	
Transport[e, c]	
exchange reaction	
exchange reaction	
Transport[c, e]	
Transport[c, p]	
exchange reaction	
Transport[c, m]	
exchange reaction	
purine metabolism	sce00230
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[c, er]	
Transport[c, g]	
Transport[c, lp]	
Transport[c, n]	
Transport[c, p]	
Transport[c, v]	
exchange reaction	
Transport[c, er]	
exchange reaction	
Transport[e, c]	
Transport[e, c]	
Transport[c, m]	
Transport[c, n]	
Transport[c, m]	
exchange reaction	
Transport[e, c]	
exchange reaction	
Transport[c, m]	
Transport[c, e]	
Transport[c, m]	
exchange reaction	
Transport[e, c]	
Transport[c, n]	
purine metabolism	sce00230
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
Transport[g, er]	
exchange reaction	
exchange reaction	
Transport[c, e]	
Transport[c, m]	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[c, e]	
Transport[c, m]	
exchange reaction	
arginine and proline metabolism	sce00330
glycine, serine and threonine metabolism	sce00260
exchange reaction	
Transport[m, c]	
exchange reaction	
Transport[e, c]	
Transport[e, c]	
exchange reaction	
exchange reaction	
exchange reaction	
exchange reaction	
Transport[m, c]	
exchange reaction	
Transport[c, m]	
Transport[c, p]	
exchange reaction	
